time: 2000000000
64 1 1
64 2 1
64 3 1
64 4 1
64 5 1
64 6 1
64 7 1
64 8 1
64 9 1
64 10 1
64 11 1
64 12 1
65 1 1
65 2 1
65 3 1
65 4 1
65 5 1
65 6 1
65 7 1
65 8 1
65 9 1
65 10 1
65 11 1
65 12 1
66 1 1
66 2 1
66 3 1
66 4 1
66 5 1
66 6 1
66 7 1
66 8 1
66 9 1
66 10 1
66 11 1
66 12 1
67 1 1
67 2 1
67 3 1
67 4 1
67 5 1
67 6 1
67 7 1
67 8 1
67 9 1
67 10 1
67 11 1
67 12 1
68 1 1
68 2 1
68 3 1
68 4 1
68 5 1
68 6 1
68 7 1
68 8 1
68 9 1
68 10 1
68 11 1
68 12 1
69 1 1
69 2 1
69 3 1
69 4 1
69 5 1
69 6 1
69 7 1
69 8 1
69 9 1
69 10 1
69 11 1
69 12 1
70 1 1
70 2 1
70 3 1
70 4 1
70 5 1
70 6 1
70 7 1
70 8 1
70 9 1
70 10 1
70 11 1
70 12 1
71 1 1
71 2 1
71 3 1
71 4 1
71 5 1
71 6 1
71 7 1
71 8 1
71 9 1
71 10 1
71 11 1
71 12 1
72 1 1
72 2 1
72 3 1
72 4 1
72 5 1
73 1 1
73 2 1
73 3 1
73 4 1
73 5 1
74 1 1
74 2 1
74 3 1
74 4 1
74 5 1
75 1 1
75 2 1
75 3 1
75 4 1
75 5 1
76 1 1
76 2 1
76 3 1
76 4 1
76 5 1
77 1 1
77 2 1
77 3 1
77 4 1
77 5 1
78 1 1
78 2 1
78 3 1
78 4 1
78 5 1
79 1 1
79 2 1
79 3 1
79 4 1
79 5 1
80 1 1
80 2 1
80 3 1
80 4 1
80 5 1
81 1 1
81 2 1
81 3 1
81 4 1
81 5 1
